id,age,education,employment,income,marital_status,violence
1,30,2,0,0,1,True
2,47,3,0,0,1,False
3,24,3,0,0,0,False
4,22,3,0,0,0,False
5,50,1,0,0,1,True
6,21,3,0,0,0,True
7,30,3,0,0,1,False
8,27,3,0,0,1,False
9,20,3,0,0,0,False
10,18,2,0,0,1,False
11,40,1,0,0,1,False
12,45,1,0,0,1,True
13,45,0,0,0,1,False
14,40,0,0,0,1,True
15,50,1,0,0,1,True
16,43,1,0,0,1,False
17,18,2,0,0,0,False
18,15,2,0,0,0,False
19,44,1,0,0,1,False
20,35,2,0,0,1,False
21,40,1,0,0,1,False
22,50,0,0,0,1,True
23,40,3,0,0,1,True
24,35,0,0,0,1,True
25,44,1,0,0,1,False
26,23,2,0,0,1,True
27,24,1,0,0,1,True
28,19,2,0,0,0,False
29,27,2,0,0,1,False
30,20,2,0,0,1,False
31,18,2,0,0,1,False
32,23,2,0,0,1,False
33,19,2,0,0,1,False
34,19,2,0,0,1,False
35,50,1,0,0,1,True
36,25,2,0,0,1,False
37,19,2,0,0,0,False
38,30,1,0,0,1,True
39,24,1,0,0,1,False
40,23,3,0,0,0,False
41,20,2,0,0,0,False
42,50,0,0,0,1,True
43,21,2,0,0,0,False
44,32,3,0,0,0,False
45,30,3,0,0,0,False
46,25,2,0,0,1,False
47,26,2,0,0,1,True
48,40,1,0,0,1,True
49,50,1,0,0,1,True
50,43,0,0,0,1,True
51,35,3,0,0,1,True
52,40,1,0,0,1,True
53,40,2,0,0,1,True
54,25,2,0,0,1,False
55,23,2,0,0,1,False
56,37,3,0,0,1,True
57,33,1,0,0,1,True
58,23,2,0,0,1,False
59,42,0,0,0,1,True
60,33,1,0,0,1,True
61,30,1,0,0,1,True
62,33,2,0,0,1,False
63,23,2,0,0,1,False
64,22,3,0,0,1,True
65,19,2,0,0,1,True
66,25,1,0,0,1,True
67,30,2,0,0,1,True
68,40,2,0,0,1,False
69,27,1,0,0,1,True
70,24,1,0,0,1,True
71,30,1,0,0,1,False
72,35,1,0,0,1,True
73,50,1,0,0,1,True
74,47,1,0,0,1,True
75,20,2,0,0,1,False
76,23,2,0,0,1,False
77,30,3,0,0,1,False
78,40,1,0,0,1,True
79,54,1,0,0,1,True
80,33,1,0,0,1,False
81,40,0,0,0,1,False
82,35,0,0,0,1,False
83,22,1,0,0,1,False
84,34,0,0,0,1,False
85,45,1,0,0,1,False
86,27,0,0,0,1,False
87,45,0,0,0,1,False
88,39,1,0,0,1,True
89,37,0,0,0,1,False
90,21,2,0,0,0,False
91,29,0,0,0,1,False
92,23,1,0,0,1,False
93,51,0,0,0,1,False
94,33,1,0,0,0,False
95,25,2,0,0,1,False
96,26,0,0,0,1,False
97,50,0,0,0,1,False
98,29,1,0,0,1,False
99,28,1,0,0,1,False
100,18,0,0,0,1,False
101,35,0,0,0,1,True
102,34,3,0,0,1,False
103,25,0,0,0,1,False
104,46,1,0,0,1,True
105,19,2,0,0,1,False
106,40,0,0,0,1,False
107,22,1,0,0,1,False
108,18,1,0,0,1,True
109,30,3,0,0,1,False
110,21,2,0,0,0,False
111,55,0,0,0,1,False
112,32,0,0,0,1,False
113,35,0,0,0,1,False
114,18,2,0,0,0,False
115,35,1,0,0,1,False
116,36,0,0,0,1,False
117,50,1,0,0,1,False
118,30,2,0,0,1,False
119,24,3,0,0,0,False
120,47,0,0,0,1,False
121,30,0,0,0,1,False
122,30,3,0,0,1,False
123,35,1,0,0,1,False
124,55,0,0,0,1,True
125,19,2,0,0,0,False
126,19,2,0,0,0,False
127,38,1,0,0,1,False
128,25,0,0,0,1,False
129,35,0,0,0,1,False
130,30,1,0,0,1,False
131,24,0,0,0,1,False
132,20,1,0,0,1,False
133,40,0,0,0,1,False
134,56,0,0,0,1,False
135,15,1,0,0,0,True
136,26,2,0,0,1,False
137,60,1,0,0,1,False
